Sentiment Text;Sentiment
SAFEMOONC Coin Giveaways Retweets;Neutral
: $300 to someone who retweets this and follows in days $BTC $ETH $BNB;Neutral
: Obviously not the opportunity of -early , but long term watchers of or those under-exposed are being given;Bullish
: Why ? times as fast as True : K+ downloaded wallets Active communi;Neutral
: Why ? times as fast as True : K+ downloaded wallets Active communi;Neutral
: Please stay tuned in our Social Media to get our latest news. Airdrop is ongoing and, for those who want to be Early Birds;Neutral
: If you missed train. Do not miss the next one next stop $!!;Bullish
: dominance now under %! Wow! getting ready for a mega pump!;Bullish
: EMERGENCY: If you bank with or they will BAN your account for ANY transactions.Not only that,;Neutral
Life is a choice! Isn't it?Take a smart move - Take the Bitcoin Certified Agent Course Today.;Neutral
: Again $82 in to one of my random follower. Please Retweet;Neutral
Booty Strap updated May;Neutral
: $200 to someone who retweets this and follows with on in hours;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: $1000 to someone who retweets this and follows + tags a friend who loves tik tok. sponsor has an ongoing $10k tik;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: What to research before Investing? . Team Members2. Mission3. Price History4. Popularity5. Total Supply6. Tokenomics;Neutral
: Again $82 in to one of my random follower. Please Retweet;Neutral
: $2,000+ GIVEAWAY We hit M on Instagram &amp M on Twitter so we're giving away M Satoshis!To win t photos r;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
next TP: $Congratz Enjoy! $eth $link $doge $bnb;Neutral
[Market is highly volatile, wait for any entry and control tight SL. Small loss is better than big.];Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Big shitcoin gambling pump happening.Last daysTelcoin up %Bake (huh?) up %OKB up %Doge up %ETH classi;Bearish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Invite A Friend &amp;Neutral
": ""[...]Bitcoin is the cheapest way to buy the future, because Bitcoin is the only medium guaranteed to not be debased";Bullish
: XinFin's XDC becomes settlement coin for Corda XDCXinFinr3;Neutral
Join this new project- , &amp  Octopus Protocol-&gt  the for trading assets $JULD $CAKE $TLM $VET;Neutral
: Again $82 in to one of my random follower. Please Retweet;Neutral
I play and get Cashback! The more you play on - the higher Rank and Cashback amount you will get! My Username: Andresfg5;Neutral
: Please stay tuned in our Social Media to get our latest news. Airdrop is ongoing and, for those who want to be Early Birds;Neutral
: Friend: How much do you love Me: THIIIIIIIIS MUCH;Neutral
: Take note financial advisors.....More than % of clients who have a financial advisor want to learn more about Bitco;Bullish
: $1000 to someone who retweets this and follows + tags a friend who loves tik tok. sponsor has an ongoing $10k tik;Neutral
Safemoon : audit Certik complete Let's go to the moon !Are you part of the safemoon community ?;Bullish
: Multicoin Launches $100M Crypto Fund with Sights Set on Solana DeFi Read:;Bullish
"Fun fact about watching how cryptos are volatile that when we ask someone ""how much now?"" And they reply "" before or after the question?"" Overall, no one can deny Dogecoin or cryptos anymore.";Bullish
: Again $82 in to one of my random follower. Please Retweet;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: an oral essay:An audio history about what crypto is, how it really works, and why it matters. Told by the;Neutral
: $ Giveaway! Ends in hours!Requirements: Retweet our Pinned &amp;Neutral
: $ Giveaway! Ends in hours!Requirements: Retweet our Pinned &amp;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
Investing can provide you with another source of income, fund your retirement or even get you out of a financial jam. Above all, investing grows your wealth helping you meet your financial goals and increasing your purchasing power over time.;Bullish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Again $82 in to one of my random follower. Please Retweet;Neutral
is dying one token at a time.;Bearish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: $60 to someone who retweets this and upvotes (post proof) in hours;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: ETH Mammoth Rally Continues as the Altcoin Registers Another ATH Above $3,500 Read:;Bullish
: MVRV Z-Score (Market value-Realized value, adjusted for volatility) has historically been one of the most accurate on-cha;Neutral
Want to find yo point of view on $YLD.The is a Big player in the DeFi sphere. I think the price will rise even more . I regret I didnt purchase it before X. But is its still worth investing in? $dcr $xtz $ecp $rsr $rage $stx $mana $ltc $buy $neo $xch $sol;Bullish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Airdrop Task: DONALD (~$50) for lucky participants. Airdrop Link &amp;Neutral
: $ Giveaway! Ends in hours Requirements: Join this Telegram channel: &amp;Neutral
: $1000 to someone who retweets this and follows + tags a friend who loves tik tok. sponsor has an ongoing $10k tik;Neutral
Pardon everyone when breaks K.;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Im giving $250 to one lucky follower that retweets this within the next days. enter:- Follow - J;Neutral
: What is ? On Freeskins you can download apps &amp;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: MVRV Z-Score (Market value-Realized value, adjusted for volatility) has historically been one of the most accurate on-cha;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
Please improve your services.. .;Neutral
Wealthsimple raises $610M at a $4B valuation | TechCrunch;Bullish
: $ Giveaway! Ends in hours Requirements: Join this Telegram channel: &amp;Neutral
"""May the force be with you.""F*ck you , you chose the dark side of the force.";Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Please stay tuned in our Social Media to get our latest news. Airdrop is ongoing and, for those who want to be Early Birds;Neutral
: Verry Strong Project;Bullish
: The whole world is switching to !;Bullish
Replace BTC with ETH in this tweet and it's accurateSo many people are underexposed and it showsWe're not stopping at this time aroundTik tok;Bullish
: . explaining the banking red tape of on a global scale, and how solves all those issues;Bullish
What do you think? Take a look at up for the platform and tell me what you think of what they have to offer;Neutral
If you see in Twitter names, it's a itcoin thing;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: Please stay tuned in our Social Media to get our latest news. Airdrop is ongoing and, for those who want to be Early Birds;Neutral
. So saying is useless is isomorphic to discouraging American and other national freedom fighters from ever trying as the faith of people in their revolution (which belief actually translates to the value of the new currency eventually) fluctuates tremendously.;Neutral
: Happy Star Wars Day Yall! Is there a lot of overlap between the Star Wars community and the Bitcoin community? May;Neutral
: MVRV Z-Score (Market value-Realized value, adjusted for volatility) has historically been one of the most accurate on-cha;Neutral
Amazing NEWS about (Eurosystem) on page mentioned DCRM Fusion in its reportRead more here:;Bullish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
Last operation on bitstamp: Asset: BTC-USDBotname: BEARALPHAOperation Profit: BTC (4.348%)Historical Profit: BTC (16.43%) Beeblox for Android at;Bullish
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
: You will not understand why matters until hyperinflation hits your country. You will not appreciate financial freed;Bullish
: Hundreds of U.S. banks will soon allow customers to buy, hold and sell through their existing accounts, says N;Bullish
$XRP position up % with x leverage. Taking % off here. The rest of my position will be a small moon bag. $BTC;Bullish
: Jamie Dimon: : I'm not a supporter. I have no interest in it...clients are interested. Be quiet Jamie, and go;Neutral
: BREAKING: is coming to ~300,000,000 US bank accounts via NYDIGs latest partnership. More on it with NYDIG CEO Robby Gu;Bullish
Customers of hundreds of banks in the U.S. will soon be able to buy, hold and sell through their existing accounts, CNBC reported Wednesday.;Bullish
: Another winning SIGNAL has been UNLEASHED on it in before it;Bullish
: Texas Is Becoming A Mecca For Bitcoin Miners.;Bullish
: Doesnt seem to me like there is going to be enough to go around.;Bullish
: Im giving $100 to one lucky follower that retweets this within the next hours. enter:- Follow;Neutral
: is critical to any bank that wishes to remain competitive. Tens of billions of dollars are flowing out of in;Bullish
: Consumer goods are basically guaranteed to get more expensive. is a gamble. The price can easily cras;Neutral
: has surpassed the millon watchlists mark on now rank only behind with millio;Neutral
": Hundreds of banks will start offering to customers as they are ""seeing deposits going to the Coinbases and Galaxies and";Bullish
: with total supply Our plan: the most efficient mining in the world. Easy to use with Android or IOS appli;Neutral
Look at the chart!! Its gonna keep going up dont worry just buy more!;Bullish
: We are pleased to announce to launch our IDO first on PolkaBridge Launchpad at PM - PM UTC, th May.Before that, w;Neutral
": Hundreds of banks will start offering to customers as they are ""seeing deposits going to the Coinbases and Galaxies and";Bullish
: Ethereum will flip;Bullish
: with total supply Our plan: the most efficient mining in the world. Easy to use with Android or IOS appli;Neutral
: % of all the hashrate is now signalling support for the Taproot upgrade.;Neutral
: Hundreds of U.S. banks will soon allow customers to buy, hold and sell through their existing accounts, says N;Bullish
: $200 to someone who retweets this and follows with on in hours;Neutral
: a tokenised stock of up to $100 in value as50% of trading commissi;Neutral
: is critical to any bank that wishes to remain competitive. Tens of billions of dollars are flowing out of in;Bullish
: New airdrop: Coffee Break Defi (CFE)Reward: CFE ($2.5)Rate: Remarks: Total CFE For AirdropDistrib;Neutral
": Hundreds of banks will start offering to customers as they are ""seeing deposits going to the Coinbases and Galaxies and";Bullish
: Hundreds of US banks will allow customers to buy/hold and sell this year - CNBC;Bullish
: will be listed on !;Neutral
: The People's Coin!!;Neutral
: Task: Up to BREW (~$1.25) Top referrers will share a total of BREW reward. (~$750);Neutral
": ""Bitcoins global reach &amp  neutrality could make it the currency of choice for international trade.""Read up on 's";Bullish
: JEFFxELON Airdrop Task: M VSELON (~$0.4) + B VSJEFF (~$0.7) B VSELON total (~$600) Ai;Neutral
: I will give $500 worth of to followers ($250 each) like and retweet this and follow meEnds in hours;Neutral
: New airdrop: Coffee Break Defi (CFE)Reward: CFE ($2.5)Rate: Remarks: Total CFE For AirdropDistrib;Neutral
: You will not understand why matters until hyperinflation hits your country. You will not appreciate financial freed;Bullish
"""Insula is committed to generating -adjusted returns for its investors by building a portfolio to provide a hedge against dominance.""";Bullish
: If repeats the pattern after the last consolidation - we could see $147k by mid-May;Bullish
Champion Tyson Fury Partners With To Make It eBay of NFTs;Bullish
: will be listed on !;Neutral
SELL SELL SELL;Bearish
Crashing Bitcoin SELL;Bearish
Bitcoin is not scalable watch out;Bearish
crypto is going to be banned;Bearish
tohe government is banning crypto;Bearish
crypto needs to be regulated;Bearish
terrorism and crypto will be an outcome;Bearish
SELL NOW SELL NOW NOW SELL SELL;Bearish
be careful watch out this is not good;Bearish
BE CAREFUL;Bearish
bitcoin will not scale over the next couple years;Bearish
bitcoin is forming a downwards triangle;Bearish
bitcoin will fail no doubt;Bearish
failing soon crypto;Bearish
bitcoin is SHIT;Bearish
The prices are too damn high;Bearish
We are at the peak;Bearish
